project name,timestamp
myReport,"2022-01-25, 10:38"
""
z,w,l,W,Lb
20.0,495,500.0,500.0,20.0
""
Ph,gammaP
3,1.06
""
Zg,alpha,Kz
900,10,0.94
""
elevation,Ke
2500,0.91
""
Kzt,Kd,v,qz
1,0.85,100,18.66
""
LSFc,LSFe,LSFi
""
panel length,panel width,Aref
3,7,21
""
panel index,panel coords,panel class,zones,intersection area,vortex zones,An,GCL
1,"[(440.0, 435.0), (440.0, 438.0), (447.0, 438.0), (447.0, 435.0)]",sw corner,['3C'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
2,"[(447.0, 435.0), (447.0, 438.0), (454.0, 438.0), (454.0, 435.0)]",south edge,['3C'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
3,"[(454.0, 435.0), (454.0, 438.0), (461.0, 438.0), (461.0, 435.0)]",south edge,"['3B', '3C']","[3.0, 18.0]","{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
4,"[(461.0, 435.0), (461.0, 438.0), (468.0, 438.0), (468.0, 435.0)]",south edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
5,"[(468.0, 435.0), (468.0, 438.0), (475.0, 438.0), (475.0, 435.0)]",south edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
6,"[(475.0, 435.0), (475.0, 438.0), (482.0, 438.0), (482.0, 435.0)]",south edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
7,"[(482.0, 435.0), (482.0, 438.0), (489.0, 438.0), (489.0, 435.0)]",south edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
8,"[(489.0, 435.0), (489.0, 438.0), (496.0, 438.0), (496.0, 435.0)]",se corner,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
9,"[(440.0, 438.0), (440.0, 441.0), (447.0, 441.0), (447.0, 438.0)]",west edge,['3C'],[21.0],"{'VNE-E': 0.5, 'VNE-N': 20.5, 'VNW-W': 21.0, 'VSW-W': 0.5, 'VSE-S': 21.0}",52.5,-0.2
10,"[(447.0, 438.0), (447.0, 441.0), (454.0, 441.0), (454.0, 438.0)]",interior,['3C'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
11,"[(454.0, 438.0), (454.0, 441.0), (461.0, 441.0), (461.0, 438.0)]",interior,"['3B', '3C']","[3.0, 18.0]","{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
12,"[(461.0, 438.0), (461.0, 441.0), (468.0, 441.0), (468.0, 438.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
13,"[(468.0, 438.0), (468.0, 441.0), (475.0, 441.0), (475.0, 438.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
14,"[(475.0, 438.0), (475.0, 441.0), (482.0, 441.0), (482.0, 438.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
15,"[(482.0, 438.0), (482.0, 441.0), (489.0, 441.0), (489.0, 438.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
16,"[(489.0, 438.0), (489.0, 441.0), (496.0, 441.0), (496.0, 438.0)]",east edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
17,"[(440.0, 441.0), (440.0, 444.0), (447.0, 444.0), (447.0, 441.0)]",west edge,['3C'],[21.0],"{'VNE-E': 7.5, 'VNE-N': 13.5, 'VNW-W': 21.0, 'VSW-W': 7.5, 'VSE-S': 21.0}",52.5,-0.2
18,"[(447.0, 441.0), (447.0, 444.0), (454.0, 444.0), (454.0, 441.0)]",interior,['3C'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
19,"[(454.0, 441.0), (454.0, 444.0), (461.0, 444.0), (461.0, 441.0)]",interior,"['3B', '3C']","[3.0, 18.0]","{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
20,"[(461.0, 441.0), (461.0, 444.0), (468.0, 444.0), (468.0, 441.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
21,"[(468.0, 441.0), (468.0, 444.0), (475.0, 444.0), (475.0, 441.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
22,"[(475.0, 441.0), (475.0, 444.0), (482.0, 444.0), (482.0, 441.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
23,"[(482.0, 441.0), (482.0, 444.0), (489.0, 444.0), (489.0, 441.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
24,"[(489.0, 441.0), (489.0, 444.0), (496.0, 444.0), (496.0, 441.0)]",east edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
25,"[(440.0, 444.0), (440.0, 447.0), (447.0, 447.0), (447.0, 444.0)]",west edge,['3C'],[21.0],"{'VNE-E': 16.5, 'VNE-N': 4.5, 'VNW-W': 21.0, 'VSW-W': 16.5, 'VSE-S': 21.0}",52.5,-0.2
26,"[(447.0, 444.0), (447.0, 447.0), (454.0, 447.0), (454.0, 444.0)]",interior,['3C'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
27,"[(454.0, 444.0), (454.0, 447.0), (461.0, 447.0), (461.0, 444.0)]",interior,"['3B', '3C']","[3.0, 18.0]","{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
28,"[(461.0, 444.0), (461.0, 447.0), (468.0, 447.0), (468.0, 444.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
29,"[(468.0, 444.0), (468.0, 447.0), (475.0, 447.0), (475.0, 444.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
30,"[(475.0, 444.0), (475.0, 447.0), (482.0, 447.0), (482.0, 444.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
31,"[(482.0, 444.0), (482.0, 447.0), (489.0, 447.0), (489.0, 444.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
32,"[(489.0, 444.0), (489.0, 447.0), (496.0, 447.0), (496.0, 444.0)]",east edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
33,"[(440.0, 447.0), (440.0, 450.0), (447.0, 450.0), (447.0, 447.0)]",west edge,['3C'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
34,"[(447.0, 447.0), (447.0, 450.0), (454.0, 450.0), (454.0, 447.0)]",interior,['3C'],[21.0],"{'VNE-E': 4.5, 'VNE-N': 16.5, 'VNW-W': 21.0, 'VSW-W': 4.5, 'VSE-S': 21.0}",52.5,-0.2
35,"[(454.0, 447.0), (454.0, 450.0), (461.0, 450.0), (461.0, 447.0)]",interior,"['3B', '3C']","[3.0, 18.0]","{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
36,"[(461.0, 447.0), (461.0, 450.0), (468.0, 450.0), (468.0, 447.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
37,"[(468.0, 447.0), (468.0, 450.0), (475.0, 450.0), (475.0, 447.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
38,"[(475.0, 447.0), (475.0, 450.0), (482.0, 450.0), (482.0, 447.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
39,"[(482.0, 447.0), (482.0, 450.0), (489.0, 450.0), (489.0, 447.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
40,"[(489.0, 447.0), (489.0, 450.0), (496.0, 450.0), (496.0, 447.0)]",east edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
41,"[(440.0, 450.0), (440.0, 453.0), (447.0, 453.0), (447.0, 450.0)]",west edge,['3C'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
42,"[(447.0, 450.0), (447.0, 453.0), (454.0, 453.0), (454.0, 450.0)]",interior,['3C'],[21.0],"{'VNE-E': 13.5, 'VNE-N': 7.5, 'VNW-W': 21.0, 'VSW-W': 13.5, 'VSE-S': 21.0}",52.5,-0.2
43,"[(454.0, 450.0), (454.0, 453.0), (461.0, 453.0), (461.0, 450.0)]",interior,"['3B', '3C']","[3.0, 18.0]","{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
44,"[(461.0, 450.0), (461.0, 453.0), (468.0, 453.0), (468.0, 450.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
45,"[(468.0, 450.0), (468.0, 453.0), (475.0, 453.0), (475.0, 450.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
46,"[(475.0, 450.0), (475.0, 453.0), (482.0, 453.0), (482.0, 450.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
47,"[(482.0, 450.0), (482.0, 453.0), (489.0, 453.0), (489.0, 450.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
48,"[(489.0, 450.0), (489.0, 453.0), (496.0, 453.0), (496.0, 450.0)]",east edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
49,"[(440.0, 453.0), (440.0, 456.0), (447.0, 456.0), (447.0, 453.0)]",west edge,['3C'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
50,"[(447.0, 453.0), (447.0, 456.0), (454.0, 456.0), (454.0, 453.0)]",interior,['3C'],[21.0],"{'VNE-E': 20.5, 'VNE-N': 0.5, 'VNW-W': 21.0, 'VSW-W': 20.5, 'VSE-S': 21.0}",52.5,-0.2
51,"[(454.0, 453.0), (454.0, 456.0), (461.0, 456.0), (461.0, 453.0)]",interior,"['3B', '3C']","[3.0, 18.0]","{'VNE-E': 2.0, 'VNE-N': 19.0, 'VNW-W': 21.0, 'VSW-W': 2.0, 'VSE-S': 21.0}",52.5,-0.2
52,"[(461.0, 453.0), (461.0, 456.0), (468.0, 456.0), (468.0, 453.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
53,"[(468.0, 453.0), (468.0, 456.0), (475.0, 456.0), (475.0, 453.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
54,"[(475.0, 453.0), (475.0, 456.0), (482.0, 456.0), (482.0, 453.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
55,"[(482.0, 453.0), (482.0, 456.0), (489.0, 456.0), (489.0, 453.0)]",interior,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
56,"[(489.0, 453.0), (489.0, 456.0), (496.0, 456.0), (496.0, 453.0)]",east edge,['3B'],[21.0],"{'VNE-N': 21.0, 'VNW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.32
57,"[(440.0, 456.0), (440.0, 459.0), (447.0, 459.0), (447.0, 456.0)]",west edge,['3C'],[21.0],"{'VNE-E': 21.0, 'VNW-W': 21.0, 'VSW-W': 21.0, 'VSE-S': 21.0}",52.5,-0.2
